id	name.zh-CN	name.en
3185	宁波城市职业技术学院	Ningbo City College of Vocational Technology
3058	宁波大学	Ningbo University
3368	宁波工程学院	Ningbo University of Technology
14587	宁波国家高新区外国语学校	Ningbo National Hi-Tech Zone Foreign Language School
26744	宁德师范学院	Ningde Normal University
6052	宁夏大学	Ningxia University
9157	宁夏理工学院	Ningxia Institute of Science and Technology
6219	攀枝花学院	Panzhihua University
3742	平顶山学院	Pingdingshan University
22004	萍乡学院	Pingxiang University
9237	莆田学院	Putian University
7422	齐鲁工业大学（山东省科学院）	Qilu University of Technology
25777	齐鲁理工学院	Qilu Institute of Technology
2904	齐齐哈尔大学	Qiqihar University
8682	黔南民族师范学院	Qiannan Normal University for Nationalities
6744	青岛滨海学院	Qingdao Binhai University
25883	青岛城市学院	Qingdao City University
4383	青岛大学	Qingdao University
5786	青岛工学院	Qingdao Institute of Technology
5236	青岛科技大学	Qingdao University of Science and Technology
8720	青岛理工大学	Qingdao University of Technology
5443	青岛农业大学	Qingdao Agricultural University
19761	青岛农业大学海都学院	Haidu College Qingdao Agricultural University
6701	青岛职业技术学院	Qingdao Technical College
9095	青海大学	Qinghai University
2039	清华大学	Tsinghua University
26018	琼台师范学院	Qiongtai Normal University
1514	曲阜师范大学	Qufu Normal University
4584	衢州职业技术学院	Quzhou College of Technology
4603	泉州师范学院	Quanzhou Normal University
15762	泉州信息工程学院	Quanzhou University of Information Engineering
6328	三江学院	Sanjiang University
4616	三明学院	Sanming University
6861	三峡大学	China Three Gorges University
2723	厦门大学	Xiamen University
9256	厦门大学嘉庚学院	Xiamen University Tan Kah Kee College
19527	厦门大学马来西亚分校	Xiamen University Malaysia
4163	厦门理工学院	Xiamen University of Technology
5543	山东财经大学	Shandong University of Finance and Economics
1657	山东大学	Shandong University
11196	山东第一医科大学	Shandong First Medical University
9955	山东工商学院	Shandong Technology and Business University
8647	山东管理学院	Shandong Management University
26299	山东航空学院	Shandong University of Aeronautics
3115	山东建筑大学	Shandong Jianzhu University
8148	山东交通学院	Shandong Jiaotong University
4672	山东科技大学	Shandong University of Science and Technology
4055	山东理工大学	Shandong University of Technology
4684	山东农业大学	Shandong Agricultural University
8652	山东青年政治学院	Shandong Youth University of Political Science
1656	山东师范大学	Shandong Normal University
20482	山东石油化工学院	Shandong Institute of Petroleum and Chemical Technology
16192	山东协和学院	Shandong Xiehe University
9100	山东政法学院	Shandong University of Political Science and Law
